,Predator X,Predator Y,Predator Z,Prey X,Prey Y,Prey Z,Prey Stamina,Action
0,0.7142857142857143,0.7142857142857143,0.0,0.8571428571428571,0.42857142857142855,0.0,1.0,4
1,0.7142857142857143,0.42857142857142855,0.0,0.8571428571428571,0.2857142857142857,0.0,0.99,4
2,0.7142857142857143,0.2857142857142857,0.0,0.8571428571428571,0.14285714285714285,0.0,0.98,4
3,0.7142857142857143,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.97,3
4,0.8571428571428571,0.14285714285714285,0.0,0.8571428571428571,0.14285714285714285,0.0,0.96,3
5,0.8571428571428571,0.0,0.0,0.8571428571428571,0.2857142857142857,0.0,0.95,2
6,0.8571428571428571,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.94,2
7,0.8571428571428571,0.14285714285714285,0.0,0.5714285714285714,0.2857142857142857,0.0,0.9299999999999999,2
8,0.8571428571428571,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.9199999999999999,2
9,0.5714285714285714,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.9099999999999999,2
10,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.8999999999999999,4
11,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.8899999999999999,2
12,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.8799999999999999,0
13,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.9299999999999999,0
14,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.98,0
15,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,1.0,4
16,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.99,1
17,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.98,3
18,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.97,3
19,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.96,3
20,0.0,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.0,0.95,3
21,0.0,0.2857142857142857,0.0,0.14285714285714285,0.5714285714285714,0.0,0.94,1
22,0.0,0.42857142857142855,0.0,0.2857142857142857,0.5714285714285714,0.0,0.9299999999999999,4
