,Predator X,Predator Y,Predator Z,Prey X,Prey Y,Prey Z,Predator Stamina,Action
1623,0.0,0.0,0.0,0.0,0.0,0.0,0.07000000000000005,0
1624,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.12000000000000005,3
1625,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.09000000000000005,3
1626,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.06000000000000005,5
1627,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.11000000000000006,4
1628,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.08000000000000006,4
1629,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000000000006,0
1630,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.10000000000000006,3
1631,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.07000000000000006,3
1632,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.04000000000000006,5
1633,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.09000000000000007,4
1634,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.06000000000000007,5
1635,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.11000000000000007,4
1636,0.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000007,0
1637,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.13000000000000006,3
1638,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.10000000000000006,3
1639,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.07000000000000006,5
1640,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.12000000000000006,4
1641,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.09000000000000007,4
1642,0.0,0.0,0.0,0.0,0.0,0.0,0.06000000000000007,0
1643,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.11000000000000007,3
1644,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.08000000000000007,3
1645,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.05000000000000007,5
1646,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.10000000000000007,4
1647,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.07000000000000008,4
1648,0.0,0.0,0.0,0.0,0.0,0.0,0.04000000000000008,0
1649,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.09000000000000008,3
1650,0.7142857142857143,0.5714285714285714,0.0,0.8571428571428571,0.42857142857142855,0.0,1.0,5
1651,0.8571428571428571,0.5714285714285714,0.0,0.8571428571428571,0.2857142857142857,0.0,0.88,5
1652,0.8571428571428571,0.5714285714285714,0.0,0.8571428571428571,0.14285714285714285,0.0,0.76,8
1653,0.8571428571428571,0.2857142857142857,0.0,0.8571428571428571,0.0,0.0,0.64,8
1654,0.8571428571428571,0.0,0.0,0.8571428571428571,0.0,0.0,0.52,1
1655,0.8571428571428571,0.0,0.0,0.7142857142857143,0.0,0.0,0.49,1
1656,0.8571428571428571,0.0,0.0,0.5714285714285714,0.0,0.0,0.45999999999999996,6
1657,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.0,0.33999999999999997,0
1658,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.0,0.38999999999999996,6
1659,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.26999999999999996,0
1660,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.31999999999999995,0
1661,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.36999999999999994,0
1662,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.41999999999999993,8
1663,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.29999999999999993,0
1664,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3499999999999999,0
1665,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,8
1666,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0
1667,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3299999999999999,0
1668,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3799999999999999,0
1669,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.4299999999999999,8
1670,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3099999999999999,0
1671,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3599999999999999,0
1672,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.40999999999999986,8
1673,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.28999999999999987,0
1674,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.33999999999999986,0
1675,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.38999999999999985,0
1676,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.43999999999999984,8
1677,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.31999999999999984,0
1678,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.36999999999999983,0
1679,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.4199999999999998,8
1680,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2999999999999998,0
1681,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3499999999999998,0
1682,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3999999999999998,8
1683,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2799999999999998,0
1684,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3299999999999998,0
1685,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3799999999999998,0
1686,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42999999999999977,8
1687,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3099999999999998,0
1688,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.35999999999999976,0
1689,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.40999999999999975,8
1690,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.28999999999999976,0
1691,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.33999999999999975,0
1692,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.38999999999999974,0
1693,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.4399999999999997,8
1694,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.31999999999999973,0
1695,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3699999999999997,0
1696,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.4199999999999997,8
1697,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2999999999999997,0
1698,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3499999999999997,0
1699,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3999999999999997,8
1700,0.14285714285714285,0.8571428571428571,0.0,0.14285714285714285,0.5714285714285714,0.0,1.0,0
1701,0.14285714285714285,0.8571428571428571,0.0,0.14285714285714285,0.42857142857142855,0.0,1.0,8
